respondent_id,age_group,department,wait_minutes,clarity_score,empathy_score,overall_score,fictional_data
PX052,40-59,Pharmacy,21,3,4,6,True
PX053,18-39,OPD,63,5,5,2,True
PX054,18-39,Cardiology,69,3,2,6,True
PX055,18-39,Cardiology,52,3,2,8,True
PX056,60+,Oncology,83,5,1,9,True
PX057,40-59,OPD,22,3,1,2,True
PX058,60+,Cardiology,39,3,5,4,True
PX059,60+,Oncology,31,3,5,8,True
PX060,40-59,OPD,16,4,3,1,True
PX061,18-39,Oncology,21,3,2,8,True
PX062,60+,Pharmacy,76,1,1,2,True
PX063,60+,Cardiology,74,1,3,10,True
PX064,60+,Cardiology,60,2,1,5,True
PX065,40-59,OPD,50,2,2,2,True
PX066,40-59,Pharmacy,84,2,2,3,True
PX067,18-39,Pharmacy,8,2,3,7,True
PX068,60+,Cardiology,39,2,1,7,True
PX069,18-39,Pharmacy,33,2,4,6,True
PX070,40-59,Cardiology,33,1,2,7,True
PX071,40-59,Oncology,13,3,3,9,True
PX072,40-59,Oncology,8,1,3,3,True
PX073,60+,Oncology,9,1,5,7,True
PX074,40-59,Oncology,60,5,5,2,True
PX075,40-59,Cardiology,37,1,4,1,True
PX076,60+,Cardiology,51,4,1,6,True
PX077,60+,Oncology,89,1,3,9,True
PX078,40-59,Pharmacy,46,4,3,9,True
PX079,18-39,Cardiology,58,4,2,10,True
PX080,60+,Oncology,56,5,1,5,True
PX081,40-59,Cardiology,60,5,5,6,True
PX082,40-59,Pharmacy,61,2,5,8,True
PX083,60+,Cardiology,89,1,3,9,True
PX084,60+,Oncology,16,2,3,4,True
PX085,18-39,Cardiology,8,1,2,8,True
PX086,60+,OPD,63,4,5,4,True
PX087,60+,Pharmacy,68,4,2,3,True
PX088,60+,OPD,18,4,2,3,True
PX089,60+,Pharmacy,11,5,2,2,True
PX090,40-59,Cardiology,64,5,5,10,True
PX091,40-59,Pharmacy,83,5,4,9,True
PX092,40-59,Cardiology,65,4,3,4,True
PX093,60+,Oncology,71,4,2,5,True
PX094,40-59,OPD,41,2,3,6,True
PX095,40-59,OPD,22,2,2,7,True
PX096,60+,Cardiology,32,1,4,7,True
PX097,40-59,Pharmacy,58,1,2,7,True
PX098,40-59,OPD,78,4,4,1,True
PX099,40-59,Oncology,54,4,5,9,True
PX100,60+,Cardiology,67,2,3,7,True
PX101,40-59,OPD,54,3,4,3,True
PX102,40-59,Cardiology,84,5,1,7,True
PX103,60+,OPD,15,4,2,8,True
PX104,18-39,OPD,38,4,3,4,True
PX105,40-59,Oncology,48,4,3,7,True
PX106,40-59,OPD,65,1,5,1,True
PX107,40-59,Cardiology,88,1,1,1,True
PX108,18-39,Cardiology,7,5,2,4,True
PX109,18-39,Pharmacy,90,1,5,4,True
PX110,40-59,Oncology,52,2,5,10,True
PX111,60+,OPD,25,3,1,10,True
PX112,18-39,Oncology,78,4,4,4,True
PX113,18-39,Cardiology,18,3,5,2,True
PX114,60+,OPD,49,5,4,6,True
PX115,18-39,Oncology,6,4,4,2,True
PX116,40-59,Oncology,86,4,2,7,True
PX117,18-39,Oncology,83,5,4,8,True
PX118,40-59,Oncology,46,2,1,5,True
PX119,40-59,Cardiology,64,5,5,7,True
PX120,40-59,OPD,68,3,2,8,True
